,county,registered_A_a,registered_A_b,registered_A_c,registered_B_a,registered_B_b,registered_B_c,registered_C_a,registered_C_b,registered_C_c,registered_D_a,registered_D_b,registered_D_c,registered_E_a,registered_E_b,registered_E_c,registered_F_a,registered_F_b,registered_F_c,registered_G_a,registered_G_b,registered_G_c,total_registers
89,LINCOLN,735,932,0,2047,2143,2,4,12,0,15,14,0,7,7,0,22,18,1,233,204,1,6397
90,LONG,1186,1419,2,2672,2994,5,48,82,1,269,307,0,15,19,0,99,122,2,657,592,7,10498
91,LOWNDES,12008,15817,22,21423,23971,42,447,586,3,956,1164,4,132,131,2,988,1142,3,1670,1559,43,82113
92,LUMPKIN,108,87,0,9821,10550,10,42,61,0,197,194,0,61,46,0,105,115,0,975,778,7,23157
93,MACON,1924,2436,2,1252,1290,2,45,28,0,36,53,0,3,1,0,19,22,0,162,128,1,7404
94,MADISON,864,970,2,8178,8956,26,99,122,2,177,216,0,25,23,0,90,93,1,865,771,12,21492
95,MARION,700,844,0,1524,1657,5,22,25,0,51,46,0,4,7,0,15,26,0,117,92,1,5136
96,MCDUFFIE,2599,3500,0,4343,4903,0,25,32,0,67,85,0,10,14,0,31,37,0,77,71,0,15794
97,MCINTOSH,1280,1504,0,3106,3310,3,16,17,0,36,52,0,5,11,0,38,50,0,303,213,1,9945
98,MERIWETHER,2389,3127,3,4392,4704,6,17,23,0,41,59,0,14,15,1,54,68,1,602,519,3,16038
99,MILLER,468,634,0,1384,1530,0,2,4,0,11,18,0,1,6,0,7,6,1,72,50,0,4194
100,MITCHELL,2565,3467,6,3302,3633,7,21,29,0,88,83,0,6,14,0,41,40,0,474,438,8,14222
101,MONROE,1899,2277,10,7490,7926,16,64,71,1,95,80,0,17,29,0,97,111,1,723,624,11,21542
102,MONTGOMERY,573,670,1,1886,2102,3,5,8,0,52,57,0,3,2,0,12,19,0,170,139,1,5703
103,MORGAN,1258,1609,4,5493,6012,7,29,40,0,69,75,0,8,9,0,37,46,0,359,308,2,15365
104,MURRAY,76,61,0,9499,10491,12,22,33,0,625,671,3,19,16,0,83,84,0,967,841,3,23506
105,MUSCOGEE,26825,36545,69,25044,30045,77,1084,1333,9,2014,2333,11,124,141,3,1203,1657,7,4826,5021,105,138476
106,NEWTON,15597,21572,4,16580,18535,8,214,289,2,791,1001,1,75,75,0,559,770,1,3915,3609,7,83605
107,OCONEE,562,723,3,12489,13620,25,384,438,1,320,328,3,16,18,0,161,149,2,1220,1108,19,31589
108,OGLETHORPE,730,861,0,4056,4305,11,14,20,0,101,91,1,9,5,0,50,54,1,418,368,6,11101
109,PAULDING,10592,13277,31,39263,42525,74,411,563,2,2022,2322,7,142,137,1,979,1183,2,4948,4972,47,123500
110,PEACH,3514,4340,5,4534,4922,16,44,69,0,277,311,0,18,14,0,102,109,0,549,525,9,19358
111,PICKENS,99,104,0,10442,11336,0,45,53,0,106,150,0,19,20,0,51,65,0,1118,882,0,24490
112,PIERCE,442,556,2,5060,5660,16,17,28,1,48,69,0,12,11,1,36,31,0,529,525,12,13056
113,PIKE,558,598,0,5722,6193,10,14,30,0,36,53,0,12,5,0,44,42,0,491,402,3,14213
114,POLK,1149,1622,3,9445,10541,25,31,54,0,344,361,2,10,13,0,118,117,2,882,759,5,25483
115,PULASKI,730,957,1,1928,2119,4,16,16,0,27,26,0,4,4,0,35,41,0,116,103,0,6127
116,PUTNAM,1468,1979,2,5561,5992,12,30,43,0,113,134,0,15,3,0,60,50,0,501,437,5,16405
117,QUITMAN,287,431,0,416,450,0,3,4,0,6,8,0,6,9,0,5,6,0,47,39,0,1717
118,RABUN,34,41,0,5719,6294,18,15,27,0,132,115,0,13,18,0,37,39,0,485,441,2,13430
119,RANDOLPH,991,1442,5,862,944,0,5,4,0,8,11,0,3,4,0,9,9,0,94,84,8,4483
120,RICHMOND,33603,43925,406,22941,25952,115,709,992,7,1315,1552,13,153,175,3,1425,1916,19,7669,7209,353,150452
121,ROCKDALE,16014,20655,46,9529,10501,19,388,480,1,972,1049,3,77,73,0,696,891,4,3424,3838,34,68694
122,SCHLEY,215,307,0,1097,1197,2,5,13,0,12,29,0,1,1,0,11,7,1,50,47,0,2995
123,SCREVEN,1608,1991,1,2602,2874,7,15,15,0,27,20,0,5,10,0,25,23,0,443,406,1,10073
124,SEMINOLE,778,1097,0,1849,1974,1,8,8,0,17,29,0,3,5,0,16,22,0,138,140,1,6086
125,SPALDING,6540,8912,19,13442,14996,25,110,165,0,393,489,1,49,45,1,295,313,0,1714,1572,29,49110
126,STEPHENS,845,1001,0,7403,8105,14,64,65,0,99,100,1,18,19,0,79,104,0,670,603,7,19197
127,STEWART,806,976,2,583,578,1,2,4,0,9,4,0,3,0,0,12,4,1,62,57,0,3104
128,SUMTER,3626,5233,7,3910,4419,10,53,66,0,101,131,0,5,5,0,64,69,0,376,330,4,18409
129,TALBOT,1076,1405,0,944,1008,0,2,6,0,14,19,0,3,5,0,16,19,2,120,78,0,4717
130,TALIAFERRO,358,343,0,258,252,0,0,1,0,7,3,0,0,0,0,5,4,0,29,19,1,1280
131,TATTNALL,1050,1355,6,4003,4504,12,19,29,0,172,234,1,9,7,0,56,55,0,649,554,8,12723
132,TAYLOR,805,1068,3,1545,1636,5,9,6,0,18,28,0,1,2,0,12,12,0,177,151,1,5479
133,TELFAIR,890,1154,3,1873,2045,3,12,7,0,20,26,1,7,5,0,21,18,0,192,172,7,6456
134,TERRELL,1664,2149,7,1270,1312,4,15,7,0,13,22,0,4,4,0,27,22,0,200,195,1,6916
