,county,fr_vote_A_a,fr_vote_A_b,fr_vote_A_c,fr_vote_B_a,fr_vote_B_b,fr_vote_B_c,fr_vote_C_a,fr_vote_C_b,fr_vote_C_c,fr_vote_D_a,fr_vote_D_b,fr_vote_D_c,fr_vote_E_a,fr_vote_E_b,fr_vote_E_c,fr_vote_F_a,fr_vote_F_b,fr_vote_F_c,fr_vote_G_a,fr_vote_G_b,fr_vote_G_c
44,DODGE,0.005028,0.006379,0.0,0.007358,0.007315,0.005,0.005,0.006667000000000001,0.0,0.003947,0.004359,0.0,0.01,0.01,0.0,0.00375,0.004857,0.0,0.0037420000000000005,0.004693,0.005
45,DOOLY,0.005077000000000001,0.006442,0.01,0.007651,0.0076749999999999995,0.0,0.003636,0.003,0.0,0.0025,0.0036509999999999997,0.0,0.0,0.003333,0.0,0.0036840000000000006,0.004,0.0,0.004569,0.005370000000000001,0.005
46,DOUGHERTY,0.004370000000000001,0.005742000000000001,0.001663,0.006391,0.006614,0.003043,0.004494,0.005246999999999999,0.0,0.003721,0.003871,0.002,0.003019,0.0034149999999999996,0.0,0.003209,0.004331000000000001,0.001111,0.002484,0.0034979999999999994,0.001462
47,DOUGLAS,0.006011,0.006987000000000001,0.006071,0.006705,0.0069889999999999996,0.005581,0.005681,0.0063939999999999995,0.01,0.005085999999999999,0.005807,0.003333,0.004143,0.005529999999999999,0.0,0.005188000000000001,0.006137,0.002857,0.004677,0.005828,0.004868
48,EARLY,0.005247999999999999,0.006542,0.005,0.007609,0.007759,0.005,0.005,0.006154,0.0,0.005833,0.00375,0.0,0.003333,0.008333,0.0,0.006999999999999999,0.0045000000000000005,0.0,0.004333,0.004844,0.0
49,ECHOLS,0.003182,0.005902000000000001,0.0,0.006886,0.006909000000000001,0.01,0.003333,0.003333,0.0,0.002609,0.003529,0.0,0.0075,0.003333,0.0,0.003846,0.0075,0.0,0.0036070000000000004,0.004444,0.0
50,EFFINGHAM,0.005778999999999999,0.007056,0.005714,0.006940000000000001,0.0071849999999999995,0.007143,0.006279,0.006509999999999999,0.005,0.005102,0.005703000000000001,0.0075,0.005634,0.005692,0.0,0.0056430000000000004,0.0055509999999999995,0.0,0.004659,0.0053890000000000006,0.007143
51,ELBERT,0.005583,0.006862999999999999,0.0,0.007601,0.007670999999999999,0.005,0.005758,0.006667000000000001,0.01,0.005139,0.006364,0.0,0.003333,0.007692,0.0,0.005814000000000001,0.0051790000000000004,0.0,0.004869,0.005201,0.004706
52,EMANUEL,0.004904,0.0061270000000000005,0.005,0.007481,0.0075450000000000005,0.008333,0.0077269999999999995,0.0088,0.0,0.00431,0.005139,0.0,0.001429,0.00625,0.0,0.00525,0.004565,0.0,0.002979,0.003397,0.006667000000000001
53,EVANS,0.0052190000000000005,0.006109,0.0,0.007504,0.0077,0.006667000000000001,0.005,0.004762,0.0,0.003286,0.00425,0.0,0.006667000000000001,0.004,0.0,0.005,0.005938,0.0,0.002924,0.003468,0.0
54,FANNIN,0.001429,0.002593,0.0,0.007169,0.00726,0.007332999999999999,0.006,0.007082999999999999,0.0,0.004605,0.006129,0.0,0.005161,0.006486,0.01,0.006286000000000001,0.006034,0.01,0.005776,0.005986,0.004
55,FAYETTE,0.007298,0.007965000000000002,0.007045,0.0076,0.007836,0.007391,0.006595999999999999,0.0071719999999999996,0.006364,0.006214999999999999,0.006764,0.005,0.006024000000000001,0.0067469999999999995,0.01,0.006452,0.007290000000000001,0.01,0.006309,0.006888999999999999,0.007015
56,FLOYD,0.004952000000000001,0.0060799999999999995,0.005,0.007201999999999999,0.007226,0.007940999999999998,0.006254999999999999,0.006222999999999999,0.01,0.005078,0.005752,0.006667000000000001,0.004583,0.004634,0.0,0.004545,0.005207999999999999,0.005,0.004021,0.004671,0.008
