,county,voted_A,voted_B,voted_C,voted_D,voted_E,voted_F,voted_G
60,GILMER,0.0028376501841453844,0.9199420394856004,0.0031999033991426673,0.018112660749864156,0.0013282617883233713,0.006701684477449737,0.04787779991547425
61,GLASCOCK,0.050222504767959315,0.9186268277177368,0.0025429116338207248,0.0006357279084551812,0.0006357279084551812,0.003178639542275906,0.024157660521296885
62,GLYNN,0.17564591375186492,0.7239680772965165,0.00966206455585289,0.01527458734932626,0.0017524332772870439,0.009212115471144054,0.06448480829800839
63,GORDON,0.03261635376517883,0.8701562435243897,0.007459903021260724,0.044676530316217,0.002113639189357205,0.007045463964524017,0.03593186621907248
64,GRADY,0.24278264108772582,0.6942633637548892,0.0028869435649096667,0.012292791953808902,0.0013969081765691936,0.006705159247532129,0.0396721922145651
65,GREENE,0.22064151276840152,0.7069894848458071,0.005920296898471326,0.009454802509498985,0.0005301758416541486,0.004771582574887337,0.05169214456127949
66,GWINNETT,0.27700472632218204,0.43817015239928664,0.08735894844732275,0.07951454982321299,0.002011507358324352,0.03005259203606311,0.08588752361360816
67,HABERSHAM,0.015066556146082207,0.8949729387098347,0.00799648934614072,0.02603734945633624,0.0009751816275781365,0.005997367009605539,0.04895411770442245
68,HALL,0.05915906307578583,0.7650959321248497,0.011948762646601278,0.07338062822026324,0.001522557013140329,0.010459304698963999,0.07843375222039564
69,HANCOCK,0.6598851124940163,0.2939205361416946,0.0019147917663954045,0.00215414073719483,0.0009573958831977022,0.004547630445189086,0.03662039253231211
70,HARALSON,0.030635797719801357,0.9165559208225502,0.004826187312023502,0.004686297824718472,0.0014688396167028047,0.004896132055676016,0.03693082464852766
71,HARRIS,0.13829628524541251,0.776120145208613,0.007558804515391118,0.016062459595206125,0.001740514197622955,0.010094982346213139,0.0501268088915411
72,HART,0.12295081967213115,0.8157689305230289,0.008352849336455893,0.006088992974238876,0.001014832162373146,0.004215456674473068,0.041608118657298986
73,HEARD,0.08022181146025878,0.8672828096118299,0.0044362292051756,0.006099815157116451,0.002587800369685767,0.007208872458410351,0.03216266173752311
74,HENRY,0.45187109514097956,0.3936178822310705,0.018233466058075166,0.02639927486970315,0.0013758052507202745,0.02860056327085559,0.07990191317859571
75,HOUSTON,0.2886324922814862,0.5987703609070585,0.02041413818801235,0.021744916427126584,0.001530394974981369,0.014705099542212286,0.05420259767912275
76,IRWIN,0.188755980861244,0.7741626794258373,0.004066985645933014,0.007177033492822967,0.0016746411483253589,0.0019138755980861245,0.022248803827751195
77,JACKSON,0.053904082441537854,0.8373365041617122,0.011547100013211785,0.0293565860747787,0.0012947549213898797,0.009221825868674857,0.05733914651869468
78,JASPER,0.1532627174055185,0.8152216555511965,0.0022230940238001833,0.0071923630181770625,0.0014384726036354126,0.004184647574212109,0.01647704982346018
