,county,registered_A_a,registered_A_b,registered_A_c,registered_B_a,registered_B_b,registered_B_c,registered_C_a,registered_C_b,registered_C_c,registered_D_a,registered_D_b,registered_D_c,registered_E_a,registered_E_b,registered_E_c,registered_F_a,registered_F_b,registered_F_c,registered_G_a,registered_G_b,registered_G_c
30,CLAYTON,0.3046887987092358,0.3957854593458172,0.0010805260841930278,0.04791962059355596,0.05494059551166088,0.00013689923238644698,0.014599325282354667,0.014105510194103554,0.00016623478218354276,0.020285532684691732,0.02256392705226617,0.00012712071578741506,0.0013005427076712463,0.0011049723756906078,1.9557033198063855e-05,0.011015498948809465,0.014731335256441597,9.289590769080331e-05,0.04470737789077397,0.04942551214980687,0.001202757541680927
31,CLINCH,0.1138101664417454,0.15384615384615385,0.000449842555105713,0.31421502474134055,0.3407557354925776,0.000899685110211426,0.0011246063877642825,0.001799370220422852,0.0,0.0038236617183985606,0.004048582995951417,0.0,0.0011246063877642825,0.0015744489428699954,0.0,0.0020242914979757085,0.0038236617183985606,0.0,0.03171390013495277,0.02496626180836707,0.0
32,COBB,0.1142667993087898,0.14916899947144843,0.000284741588110615,0.2620654798874559,0.28091893229022996,0.0004733828902338974,0.015739091282814244,0.017509828033877132,6.050758747350568e-05,0.0260680923915268,0.030009983751933127,9.076138121025853e-05,0.0010944754793001763,0.001103373653928633,0.0,0.01170821817612335,0.01504681329672031,8.186320658180181e-05,0.03605006468972955,0.03756275437656719,0.0006958372559453153
33,COFFEE,0.1114396887159533,0.15229571984435797,0.0003501945525291829,0.2915953307392996,0.3371984435797665,0.000622568093385214,0.002723735408560311,0.0026848249027237353,0.0,0.017665369649805446,0.018287937743190662,0.00011673151750972762,0.0008171206225680934,0.0007003891050583658,0.0,0.003424124513618677,0.003463035019455253,3.891050583657588e-05,0.029766536964980543,0.026459143968871595,0.0003501945525291829
34,COLQUITT,0.09906897206916207,0.1259737792133764,0.00019000570017100514,0.30419912597377924,0.34280828424852744,0.0007600228006840206,0.002546076382291469,0.002660079802394072,0.0,0.02409272278168345,0.027360820824624738,0.0,0.0008740262207866235,0.0006840205206156185,0.0,0.003952118563556907,0.005738172145164355,3.800114003420103e-05,0.03036291088732662,0.028006840205206156,0.0006840205206156185
35,COLUMBIA,0.0748874258033704,0.09089513543016989,0.00026437879511496216,0.3144231425257556,0.34481817561574674,0.0006566828136726479,0.01425086989151941,0.018028928157194514,8.528348229514908e-05,0.015854199358668213,0.01895851811421164,3.411339291805963e-05,0.0012451388415091766,0.001381592413181415,0.0,0.009219144436105615,0.012135839530599714,2.558504468854472e-05,0.04144777239544245,0.040876373064064955,0.0005117008937708944
36,COOK,0.11324918351134257,0.15473563421308148,8.826904404625298e-05,0.3243887368699797,0.34866272398269926,8.826904404625298e-05,0.0022949951452025776,0.0026480713213875894,0.0,0.008826904404625299,0.009797863889134081,0.0,0.0004413452202312649,0.0005296142642775179,0.0,0.0035307617618501193,0.0037072998499426252,0.0,0.01509400653190926,0.011916320946244152,0.0
37,COWETA,0.06186665686697842,0.08518379009067774,0.0002572418164947128,0.32233318327560706,0.35410254761270404,0.0010014056427829889,0.005043777044842761,0.006623976774738854,1.8374415463908055e-05,0.011640192196385752,0.015122143926796328,7.349766185563222e-05,0.0007074149953604601,0.0006339173335048279,0.0,0.005843064117522762,0.006669912813398624,6.43104541236782e-05,0.062748628809246,0.059459608441206464,0.0006063557103089658
38,CRAWFORD,0.08604185218165628,0.10017809439002671,0.0004452359750667854,0.35908281389136243,0.3714381121994657,0.0002226179875333927,0.0011130899376669634,0.0017809439002671415,0.0,0.004007123775601068,0.005565449688334817,0.0,0.001558325912733749,0.0011130899376669634,0.0,0.004341050756901158,0.004897595725734639,0.0,0.0335040071237756,0.0243766696349065,0.00033392698130008905
39,CRISP,0.1632420091324201,0.2443683409436834,0.000532724505327245,0.2450532724505327,0.2836377473363775,0.00030441400304414006,0.0033485540334855404,0.0030441400304414,0.0,0.0033485540334855404,0.0045662100456621,0.0,0.0006849315068493151,0.00045662100456621003,0.0,0.003424657534246575,0.0035768645357686455,0.0,0.02009132420091324,0.01933028919330289,0.0009893455098934551
40,DADE,0.0028114017961733697,0.0018742678641155799,0.0,0.45997657165169853,0.412026552128075,0.0007809449433814916,0.001952362358453729,0.002577118313158922,0.0,0.0040609137055837565,0.0040609137055837565,7.809449433814917e-05,0.0015618898867629833,0.0010152284263959391,0.0,0.001952362358453729,0.0021866458414681765,0.00015618898867629833,0.058024209293244824,0.04467005076142132,0.00023428348301444748
41,DAWSON,0.0038666666666666667,0.0021333333333333334,0.0,0.43048888888888887,0.45222222222222225,0.0004,0.0028444444444444446,0.0033777777777777777,0.0,0.008444444444444444,0.00968888888888889,0.0,0.0011111111111111111,0.0014222222222222223,0.0,0.004311111111111111,0.0036,0.0,0.03924444444444444,0.0364,0.00044444444444444447
42,DECATUR,0.15087040618955513,0.2200477870064854,0.00022755717373990216,0.25452269882808054,0.2946296506997383,0.00039822505404482877,0.0017635680964842417,0.0022755717373990213,5.688929343497554e-05,0.0073956081465468195,0.009784958470815792,5.688929343497554e-05,0.0005120036409147798,0.001479121629309364,0.0,0.003072021845488679,0.0029013539651837525,0.0,0.027477528729093186,0.02167482079872568,0.000853339401524633
43,DEKALB,0.22497611126223208,0.2813971249816911,0.0001342651684766309,0.1489454081312381,0.16503456020310658,0.0001307777615032119,0.014788349270783202,0.017037726768638448,2.2668145327223397e-05,0.012760422115740062,0.014755218904535721,1.0462220920256953e-05,0.0010863272722200135,0.0010741213478130472,0.0,0.012858069510995794,0.016275728344946398,3.487406973418984e-05,0.04424298856827994,0.044239501161306524,0.0001952947905114631
44,DODGE,0.10464339402037748,0.14782027726741273,0.0,0.32687489560714883,0.3555202939702689,0.00033405712376816435,0.0013362284950726574,0.002004342742608986,0.0,0.0031735426757975613,0.0032570569567396024,0.0,0.0005010856856522465,0.00041757140471020544,0.0,0.002672456990145315,0.0029229998329714383,0.0,0.02522131284449641,0.023133455820945382,0.00016702856188408218
45,DOOLY,0.19784980744544287,0.27102053915276,0.00016046213093709883,0.2227214377406932,0.24502567394094993,0.0,0.0017650834403080873,0.0016046213093709885,0.0,0.007060333761232349,0.010109114249037227,0.0,0.0,0.0009627727856225931,0.0,0.003048780487804878,0.002406931964056483,0.0,0.018613607188703467,0.017329910141206675,0.00032092426187419767
46,DOUGHERTY,0.27086684539767647,0.3672773309502532,0.006181114089961275,0.1176496872207328,0.13549299970211498,0.0006851355376824546,0.00235329162943104,0.002412868632707775,1.4894250819183795e-05,0.004483169496574322,0.004155495978552279,7.447125409591897e-05,0.0007893952934167411,0.0006106642835865356,1.4894250819183795e-05,0.004408698242478404,0.005123622281799226,0.00013404825737265417,0.039991063449508486,0.03534405719392315,0.0019362526064938934
47,DOUGLAS,0.1945428773919206,0.2549330448729904,0.0007833190346525421,0.1793520832556231,0.1976854787571338,0.00040098474392927746,0.004793166473945317,0.005818941400276027,2.797567980901936e-05,0.017895109851169384,0.020907158043940468,5.595135961803872e-05,0.0013055317244209034,0.0012309299115968518,0.0,0.009651609534111679,0.013204520869857137,6.527658622104517e-05,0.04605729419224887,0.050580029094707005,0.0007087172218284905
48,EARLY,0.20007739938080496,0.28276573787409703,0.0007739938080495357,0.22445820433436534,0.24406604747162022,0.00025799793601651185,0.0012899896800825593,0.001676986584107327,0.0,0.0015479876160990713,0.0020639834881320948,0.0,0.0003869969040247678,0.0007739938080495357,0.0,0.0012899896800825593,0.0025799793601651187,0.0,0.01934984520123839,0.016511867905056758,0.00012899896800825592
49,ECHOLS,0.019230769230769232,0.02666083916083916,0.0,0.38461538461538464,0.42701048951048953,0.00043706293706293706,0.0013111888111888112,0.0013111888111888112,0.0,0.04020979020979021,0.03715034965034965,0.0,0.0034965034965034965,0.0026223776223776225,0.0,0.005681818181818182,0.0034965034965034965,0.0,0.02666083916083916,0.019667832167832168,0.00043706293706293706
50,EFFINGHAM,0.05484227531672477,0.0668523084771703,0.00014879687101436952,0.3584941756653346,0.3783054162061049,0.0008927812260862172,0.0027421137658362386,0.004081285604965564,4.2513391718391296e-05,0.010373267579287476,0.01103222515092254,8.502678343678259e-05,0.001509225406002891,0.001381685230847717,0.0,0.005122863702066151,0.005590511010968455,4.2513391718391296e-05,0.0483589830796701,0.04950684465606666,0.0005951874840574781
51,ELBERT,0.10445918839685234,0.1490510723653757,0.00015429717636167257,0.31067736460422773,0.3534948310445919,0.00030859435272334514,0.0025459034099675976,0.003008794939052615,7.714858818083629e-05,0.005554698349020213,0.005940441289924395,0.0,0.00023144576454250888,0.0010029316463508718,0.0,0.0033173892917759606,0.004320320938126832,0.00015429717636167257,0.029470760685079464,0.024918993982410122,0.001311525999074217
52,EMANUEL,0.11710481392966883,0.17207237965175828,0.00027313076135199724,0.27920792079207923,0.3196312734721748,0.0004096961420279959,0.001502219187435985,0.001707067258449983,0.0,0.0039603960396039604,0.004916353704335951,0.0,0.00047797883236599524,0.0005462615227039945,0.0,0.0027313076135199728,0.0031410037555479687,0.0,0.04950495049504951,0.042608398770911576,0.00020484807101399795
53,EVANS,0.10634010230971942,0.15656487366299798,0.0001550147263990079,0.2875523174701597,0.3241357929003255,0.0004650441791970237,0.002170206169586111,0.0032553092543791662,0.0,0.010851030847930553,0.012401178111920633,0.0,0.0004650441791970237,0.0007750736319950396,0.0,0.004650441791970238,0.004960471244768253,0.0,0.04665943264610138,0.03844365214695396,0.0001550147263990079
54,FANNIN,0.001333968556455455,0.0012863268222963317,0.0,0.4412101000476417,0.4804668889947594,0.0007146260123868509,0.0009528346831824678,0.002286803239637923,0.0,0.003620771796093378,0.004430681276798475,0.0,0.0014768937589328252,0.0017627441638875655,4.7641734159123394e-05,0.0033349213911386373,0.0027632205812291566,9.528346831824679e-05,0.027632205812291567,0.026345878989995235,0.00023820867079561695
55,FAYETTE,0.10076012020505569,0.12251349187368071,0.000457527893603968,0.2820971414905011,0.30656448543709514,0.0009566492320810241,0.011209433393297216,0.013642649918372864,0.000114381973400992,0.013517869583753601,0.016803751728727553,6.2390167309632e-05,0.0008630639811165761,0.0008630639811165761,1.0398361218272e-05,0.008557851282637856,0.009899239879794944,3.1195083654816e-05,0.05344757666191808,0.0569310276700392,0.0006966902016242241
56,FLOYD,0.051723861063382205,0.0731135484078172,9.634994299295039e-05,0.3432948468838823,0.3956610409005508,0.0005459830102933856,0.004159105872529025,0.005186838597787163,4.8174971496475195e-05,0.013408700399852263,0.015271465964382638,4.8174971496475195e-05,0.0007707995439436031,0.0006583912771184944,0.0,0.0035328312430748477,0.0042554558155219755,3.21166476643168e-05,0.04576622292165144,0.042185216707080114,0.00024087485748237598
57,FORSYTH,0.015356455734694713,0.01801137991731139,0.00011695701245007397,0.30539230305901066,0.3351695584287995,0.001415179850645895,0.035882411419682694,0.03807535540312158,0.00025730542739016275,0.01708741951895581,0.019625386689122414,8.771775933755548e-05,0.0009590475020906066,0.0012105050788582656,1.1695701245007397e-05,0.008970602854920674,0.009672344929621117,7.602205809254809e-05,0.09648953527131103,0.09427319988538213,0.0018596164979561762
58,FRANKLIN,0.028596623834719073,0.03772990677752582,0.0,0.40381708238851094,0.43417737465356515,0.0003149407911312673,0.003401360544217687,0.0034643487024439406,0.0,0.005668934240362812,0.004787100025195263,6.298815822625347e-05,0.0013227513227513227,0.0003149407911312673,0.0,0.002834467120181406,0.003842277651801461,6.298815822625347e-05,0.038107835726883345,0.03143109095490048,6.298815822625347e-05
59,FULTON,0.18917357690702594,0.22526401165683083,0.0008334728349157921,0.18752903008282856,0.19440311791931228,0.0008322939483034643,0.017057310393771705,0.01825388030528448,0.00017919076507383366,0.012950069436421466,0.014655918364459869,8.487983608760542e-05,0.00104331465191015,0.0009195315576157254,5.894433061639265e-06,0.01105441976379828,0.01315637459357884,0.00020394738393271857,0.054907822855782086,0.05567056249395821,0.001821379816046533
60,GILMER,0.0019564477713507997,0.0016161959850289215,0.0,0.4360326641714869,0.460871044572984,0.0011058183055461042,0.0014035386185777476,0.0022966995576726777,0.0,0.01237665872745832,0.013397414086423953,0.0,0.0010632868322558693,0.0010632868322558693,0.0,0.0038703640694113645,0.0038278325961211297,8.506294658046955e-05,0.030707723715549508,0.028113303844845186,0.00021265736645117387
61,GLASCOCK,0.025653206650831355,0.036104513064133016,0.0,0.4142517814726841,0.469833729216152,0.00047505938242280285,0.0009501187648456057,0.0014251781472684087,0.0,0.0009501187648456057,0.00047505938242280285,0.0,0.0,0.00047505938242280285,0.0,0.0014251781472684087,0.0023752969121140144,0.0,0.025653206650831355,0.019952494061757718,0.0
62,GLYNN,0.08898788256579447,0.11971477658005565,0.00030407614066562267,0.3049427576665197,0.35581469599987836,0.0010034512641965549,0.004682772566250589,0.005534185760114332,1.5203807033281133e-05,0.01006492025603211,0.011326836239794445,3.0407614066562266e-05,0.0010642664923296793,0.0010794702993629605,0.0,0.005564593374180895,0.006461617989144482,1.5203807033281133e-05,0.04139996655162453,0.04146078177975765,0.0005321332461648397
63,GORDON,0.018821757952192736,0.01911752843429862,0.0,0.38538893818396924,0.42666236455056333,0.0004033233846898443,0.003683686913500578,0.00424833965206636,2.6888225645989623e-05,0.025032938076416336,0.03062568901078218,5.3776451291979245e-05,0.0011830819284235432,0.0011830819284235432,0.0,0.004409669005942298,0.005081874647092038,0.0,0.040278562017692456,0.03361028205748703,0.00018821757952192734
64,GRADY,0.11516605632024246,0.15816390958454352,0.0003156964263164541,0.29347139790377574,0.34158353327440333,0.0005682535673696173,0.0015784821315822704,0.0017678999873721429,0.0,0.009723449930546786,0.009660310645283495,0.0,0.0010102285642126531,0.001073367849475944,0.0,0.003598939260007577,0.004861724965273393,0.00012627857052658164,0.029422906932693522,0.02771814623058467,0.00018941785578987247
65,GREENE,0.11291081389878352,0.15236238994556087,0.0001344176355937899,0.31198333221318636,0.3354392096243027,0.0006048793601720546,0.002688352711875798,0.0035620673432354326,6.720881779689495e-05,0.0066536729618926005,0.006452046508501915,0.0,0.0002688352711875798,0.00047046172457826466,0.0,0.003024396800860273,0.0032260232542509577,6.720881779689495e-05,0.02984071510182136,0.02970629746622757,0.0005376705423751596
