COUNTY NAME,COUNTY CODE,BLACK MALE,BLACK FEMALE,BLACK UNKNOWN,WHITE MALE,WHITE FEMALE,WHITE UNKNOWN,ASIA-PI MALE,ASIA-PI FEMALE,ASIA-PI UNKNOWN,HISP-LT MALE,HISP-LT FEMALE,HISP-LT UNKNOWN,NATIVE-AM MALE,NATIVE-AM FEMALE,NATIVE-AM UNKNOWN,OTHER MALE,OTHER FEMALE,OTHER UNKNOWN,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN UNKOWN,TOTAL VOTERS
TIFT,137,1236,2261,7,5311,6264,15,69,72,1,197,243,4,3,8,0,39,61,1,249,265,11,16317
TOOMBS,138,744,1348,0,3656,4393,11,24,29,0,83,132,1,3,3,0,29,52,0,221,229,3,10961
TOWNS,139,8,14,0,3500,3979,6,8,14,0,25,37,1,1,2,0,33,31,0,183,176,0,8018
TREUTLEN,140,309,545,0,1015,1110,2,2,5,0,6,4,0,1,0,0,3,3,0,47,48,2,3102
TROUP,141,2993,5525,4,9033,10602,18,114,123,0,121,150,3,11,16,0,101,120,4,617,625,10,30190
TURNER,142,421,786,1,1133,1283,1,3,5,0,20,20,0,4,3,0,7,6,0,54,57,0,3804
TWIGGS,143,774,1065,0,1152,1206,2,3,9,0,10,13,0,4,3,0,15,15,0,95,90,1,4457
UNION,144,12,9,1,6766,7656,10,20,36,0,53,77,0,11,6,0,67,66,0,421,431,4,15646
UPSON,145,1199,1952,6,4142,4817,9,20,20,0,20,33,0,7,2,0,37,51,0,309,324,5,12953
WALKER,146,334,492,1,11954,13787,24,48,49,0,65,81,0,18,23,0,68,110,0,1202,1213,11,29480
WALTON,147,2578,3956,12,17846,20344,32,159,194,1,332,448,2,39,36,0,240,316,4,2275,2450,24,51288
WARE,148,1092,1962,0,4709,5608,9,34,39,0,60,54,0,14,3,0,32,61,0,280,267,7,14231
WARREN,149,499,854,2,564,629,0,2,4,0,3,6,0,1,1,0,8,4,0,46,30,0,2653
WASHINGTON,150,1562,2712,2,2277,2583,2,9,6,0,13,24,0,3,1,0,20,14,0,123,146,0,9497
WAYNE,151,621,1113,0,4713,5446,6,21,32,0,52,66,0,8,8,0,36,39,0,340,322,1,12824
WEBSTER,152,251,342,1,357,406,0,1,1,0,2,4,1,1,0,0,5,5,0,7,19,0,1403
WHEELER,153,241,338,0,791,829,1,0,1,0,11,7,0,1,1,0,7,5,0,29,29,0,2291
WHITE,154,53,79,0,6537,7245,7,22,28,1,52,68,0,10,21,0,38,39,0,346,338,1,14885
WHITFIELD,155,539,745,0,12729,14919,36,160,192,1,2098,2606,11,27,24,0,175,185,2,1236,1260,10,36955
WILCOX,156,276,483,0,1158,1280,1,4,4,0,11,13,0,1,1,0,5,7,0,27,23,0,3294
WILKES,157,649,1079,5,1457,1584,1,14,11,0,11,11,0,2,5,0,11,18,0,83,81,2,5024
WILKINSON,158,702,1128,2,1336,1439,2,1,7,0,3,7,0,3,4,0,9,9,0,56,68,0,4776
WORTH,159,751,1223,4,3359,3592,8,7,13,0,22,19,0,3,2,0,27,21,0,131,137,3,9322
