county,BLACK MALE,BLACK FEMALE,BLACK UNKNOWN,WHITE MALE,WHITE FEMALE,WHITE UNKNOWN,ASIA-PI MALE,ASIA-PI FEMALE,ASIA-PI UNKNOWN,HISP-LT MALE,HISP-LT FEMALE,HISP-LT UNKNOWN,NATIVE-AM MALE,NATIVE-AM FEMALE,NATIVE-AM UNKNOWN,OTHER MALE,OTHER FEMALE,OTHER UNKNOWN,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN
HART,53.55,66,0,76.01,75.85,73.68,72.22,68.75,0,52.94,55.26,0,75,70,0,50.91,50,0,46.62,55.92,80
HEARD,50.46,70.16,0,69.26,69.44,87.5,66.67,76.19,0,50,75,100,50,83.33,0,40.48,52.38,0,35.23,43.32,0
HENRY,63.06,73.89,72.41,69.67,72.41,74.24,57.6,62.71,64.29,49.55,59.18,53.85,43.24,61.64,0,53.92,63.52,41.67,54.61,64,71.26
HOUSTON,57.48,67.28,37.04,69.97,70.46,65.79,59.43,64.54,60,54.72,54.65,57.14,45.79,50.39,50,51.63,58.1,30,44.03,51.05,51.61
IRWIN,45.01,61.19,0,71.58,73.11,100,81.82,57.14,0,35.48,55.88,0,50,85.71,0,33.33,40,0,40.5,50.59,50
JACKSON,53.79,67.79,60,72.53,74.74,69.77,48.97,60.95,100,56,61.19,50,59.46,79.41,0,50.17,66.12,100,44.68,50.23,65
JASPER,54.95,69.56,0,72.69,76.2,75,61.54,60,0,36.76,46.88,0,87.5,66.67,0,64.52,52.17,0,39.87,41.18,0
JEFF DAVIS,46.73,60.21,0,68.89,70.62,75,42.86,42.86,0,36.13,40.13,0,25,66.67,0,24.14,29.03,0,32.34,32.27,100
JEFFERSON,53.59,69.84,80,75.8,76.87,66.67,33.33,38.89,0,56.52,60.87,0,42.86,42.86,0,53.85,48.89,100,41.14,47.03,75
JENKINS,49.88,65.46,0,71.22,74.31,50,50,83.33,50,42.86,33.33,0,33.33,33.33,0,16.67,64.29,0,36.47,33.52,0
JOHNSON,55.51,73.66,0,77.54,77.45,33.33,91.67,71.43,0,28.57,33.33,0,50,100,0,50,0,0,30,42.71,0
JONES,65.88,76.43,0,72.41,74.54,71.43,60,69.35,0,52.38,67.5,0,68.42,52.94,0,60.71,62.79,0,34.77,44.33,0
